MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0603WAF2702T5E,Uniroyal Electronics Industry,27k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,27k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF2702T5E,Basic,C22967,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F2702T5E,Uniroyal Electronics Industry,27k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,27k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F2702T5E,Basic,C17593,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF3002T5E,Uniroyal Electronics Industry,30k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,30k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3002T5E,Basic,C22984,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
FRC0805J303TS,Fojan Electronics,30k 5% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,30k,150V,125mW,±5%,±100ppm/°C,Thick Film,Compliant,N/A,Preferred,C2930272,https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8590912227518337024
0805W8F3002T5E,Uniroyal Electronics Industry,30k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,30k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3002T5E,Basic,C17621,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF3302TCE,Uniroyal Electronics Industry,33k 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,33k,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF3302TCE,Basic,C25779,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF3302T5E,Uniroyal Electronics Industry,33k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,33k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3302T5E,Basic,C4216,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F3302T5E,Uniroyal Electronics Industry,33k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,33k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3302T5E,Basic,C17633,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF3602T5E,Uniroyal Electronics Industry,36k 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,36k,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF3602T5E,Preferred,C23147,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F3602T5E,Uniroyal Electronics Industry,36k 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,36k,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F3602T5E,Preferred,C4360,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
