MPN,Manufacturer,Description,Symbol,Footprint,Resistance,Voltage,Power,Tolerance,Temperature Coefficient,Type,RoHS,Mouser PN,JLCPCB Type,JLCPCB PN,Datasheet
0402WGF499JTCE,Uniroyal Electronics Industry,49.9R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,49.9R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF499JTCE,Basic,C25120,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF499JT5E,Uniroyal Electronics Industry,49.9R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,49.9R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF499JT5E,Basic,C23185,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F499JT5E,Uniroyal Electronics Industry,49.9R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,49.9R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F499JT5E,Basic,C17720,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF510JT5E,Uniroyal Electronics Industry,51R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,51R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF510JT5E,Basic,C23197,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F510JT5E,Uniroyal Electronics Industry,51R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,51R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F510JT5E,Basic,C17738,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F560JT5E,Uniroyal Electronics Industry,56R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,56R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F560JT5E,Preferred,C17757,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F680JT5E,Uniroyal Electronics Industry,68R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,68R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F680JT5E,Preferred,C17802,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF750JT5E,Uniroyal Electronics Industry,75R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,75R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF750JT5E,Basic,C4275,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0805W8F750JT5E,Uniroyal Electronics Industry,75R 1% 0805 General Thick Film Resistor,Device:R,Chip:RESC2012X65_NOMB,75R,150V,125mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0805W8F750JT5E,Preferred,C20638,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0603WAF820JT5E,Uniroyal Electronics Industry,82R 1% 0603 General Thick Film Resistor,Device:R,Chip:RESC1608X55_NOMB,82R,75V,100mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0603WAF820JT5E,Preferred,C23255,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
0402WGF1000TCE,Uniroyal Electronics Industry,100R 1% 0402 General Thick Film Resistor,Device:R,Chip:RESC1005X40_NOMB,100R,50V,62.5mW,±1%,±100ppm/°C,Thick Film,Compliant,303-0402WGF1000TCE,Basic,C25076,https://www.uni-royal.cn/en/images/userfile/file/1668661899c56505e6d9ab55c7.pdf
